book_id,author_id,title,genre,language,published_date,page_count,added_to_platform_at,is_available
B0068,A0020,The Secret Clock,Self-Help,English,2023-05-28,868,2024-02-28,True
B0069,A0008,The Silent Storm,Self-Help,English,2014-06-16,595,2024-10-10,True
B0070,A0001,The Final Moon,Fantasy,English,2016-12-31,337,2021-11-19,True
B0071,A0009,The Last River,Thriller,Spanish,2011-08-03,649,2021-11-28,False
B0072,A0024,The Eternal Dream,History,German,2003-11-03,827,2021-05-09,True
B0073,A0026,The Dark Throne,Thriller,English,2022-01-06,828,2024-07-11,True
B0074,A0018,The Secret Light,Biography,Italian,2016-07-21,683,2022-08-27,True
B0075,A0010,The Lost Path,Mystery,French,2020-05-09,443,2021-11-14,True
B0076,A0007,The Final Storm,Horror,Italian,2008-04-21,657,2021-01-27,True
B0077,A0007,The Lost Path,Fantasy,English,2004-07-05,134,2024-09-01,True
B0078,A0002,The Dark Promise,Thriller,French,2005-09-04,249,2021-07-15,True
B0079,A0028,The Dark Key,Thriller,English,2022-01-07,571,2022-08-05,True
B0080,A0028,The Final Throne,Mystery,English,2002-04-21,195,2021-06-01,True
